subscribers;video views;uploads;Country;Category;video_views_for_the_last_30_days;highest_monthly_earnings;Pay well
26500000;15065753455;10022;Philippines;News;163130000;652500;1
26500000;20358117330;6873;United States;Music;89098000;356400;0
26400000;8595760553;3622;India;Film;99677000;398700;0
26400000;27006526665;865;United States;Comedy;1046000000;4200000;1
26400000;17211600007;967;Italy;Entertainment;1225000000;4900000;1
26300000;4749833967;190;India;Entertainment;17264000;69100;0
26200000;31977463002;775;United States;Entertainment;487076000;1900000;1
26200000;16097531087;5985;Japan;Entertainment;721848000;2900000;1
26100000;10435474336;1619;United States;Comedy;68156000;272600;0
26100000;7886440199;0;Saudi Arabia;Music;0;0;0
26000000;14101010609;868;nan;People;606362000;2400000;1
26000000;17308961985;240;United States;Music;55454000;221800;0
26000000;18597534412;1;nan;Music;3;0;0
25900000;11372071889;65286;Indonesia;Entertainment;230183000;920700;1
25800000;15541421838;1762;Canada;Games;54947000;219800;0
25700000;17793809548;749;United States;Music;164215000;656900;1
25700000;7466926260;982;Mexico;People;30501000;122000;0
25700000;10242981063;42;United States;Music;103631000;414500;0
25600000;7962725960;0;Global;Entertainment;0;0;0
25600000;25592378292;287;United States;Music;318593000;1300000;1
25500000;2726917087;5;nan;Entertainment;20;0;0
25500000;14401218086;78;United States;Music;195499000;782000;1
25400000;6430853035;3716;Indonesia;Entertainment;58487000;233900;0
25400000;34300482066;8775;United States;Games;815341000;3300000;1
25300000;17331663193;398;United Kingdom;Music;198875000;795500;1
25200000;9602246828;4;nan;People;11;0;0
25200000;11081602368;2025;United States;Film;140319000;561300;0
25200000;7968363381;12;nan;People;2;0;0
25200000;15520569496;0;Global;Entertainment;0;0;0
25200000;10409352249;51129;India;News;273920000;1100000;1
25100000;19458807708;118;United States;Music;94246000;377000;0
25100000;16357064198;24837;Canada;Entertainment;49009000;196000;0
25000000;14169516119;89179;Indonesia;Entertainment;123189000;492800;0
25000000;14827085149;147;Colombia;Music;284144000;1100000;1
24800000;17387583720;1644;United Kingdom;Entertainment;331889000;1300000;1
24800000;2588501115;672;Mexico;Howto;336291;1300;0
24800000;3699352704;1894;United States;Entertainment;134412000;537600;0
24800000;14655527943;872;nan;People;400222000;1600000;1
24700000;20531704527;104;United States;Music;139443000;557800;0
24700000;2994726412;412;Australia;Howto;23263000;93100;0
24600000;23755792542;175;United States;Music;88940000;355800;0
24600000;3647987299;120;United States;Tech;88625000;354500;0
24500000;23962070944;18950;South Korea;Entertainment;105567000;422300;0
24400000;12385924995;658;United States;Entertainment;169865000;679500;1
24300000;2380248899;17;nan;People;5;0;0
24300000;6608773195;1667;India;Film;94853000;379400;0
